DC,Switch_Type,Switch,Has_VLANs,Missing_VLANs
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-01,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3864, 3865, 3867, 3868, 3869","3863, 2807"
DC1,COR,TU-VIC-DC1-L0-SW-COR-PRD-02,"65, 66, 692, 693, 2806, 3860, 3861, 3863, 3864, 3865, 3867, 3868, 3869","3862, 2807"
,,,,
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-01,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-02,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-03,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-04,"2806, 3865, 3867","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-05,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-06,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_PRD,TU-VIC-DC1-L0-SW-TOR-PRD-07,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
,,,,
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-01,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-02,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-03,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-04,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
DC1,TOR_MGT,TU-VIC-DC1-L0-SW-TOR-MGT-05,,"65, 66, 692, 693, 2806, 3860, 3861, 3862, 3863, 3864, 3865, 3867, 3868, 3869"
,,,,
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-01,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3864, 3868, 3869","3863, 3867, 3865"
DC2,COR,TU-NSW-DC2-L0-SW-COR-PRD-02,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3863, 3864, 3868, 3869","3862, 3867, 3865"
,,,,
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-01,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-02,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-03,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-04,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-05,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-06,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-07,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-09,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_PRD,TU-NSW-DC2-L0-SW-TOR-PRD-10,"2806, 2807","65, 66, 692, 693, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
,,,,
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-01,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-02,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-03,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-04,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-05,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-06,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-07,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-08,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
DC2,TOR_MGT,TU-NSW-DC2-L0-SW-TOR-MGT-09,,"65, 66, 692, 693, 2806, 2807, 3860, 3861, 3862, 3863, 3864, 3868, 3869"
